marca,modelo,precio_soles,stock,tienda,Categoria
Apple,MacBook Air M3,5710,40,San Isidro,Premium
ASUS,Vivobook 15,3078,34,Los Olivos,Profesional
HP,15-fd,2608,30,Chiclayo,Profesional
Acer,Aspire 5,2273,1,San Isidro,Oficina
MSI,Katana 15,5027,26,Chiclayo,Gaming
HP,Pavilion 15,3523,55,Piura,Profesional
HP,15-fd,2259,28,Chiclayo,Oficina
HP,15-fd,2326,30,Piura,Oficina
Acer,Nitro V 15,3966,22,Chiclayo,Profesional
HP,15-fd,2364,35,Arequipa,Oficina
Apple,MacBook Air M3,6396,6,San Miguel,Premium
HP,15-fd,2401,2,Centro de Lima,Oficina
Lenovo,IdeaPad Slim 3,2936,30,Surco,Profesional
Acer,Nitro V 15,4120,43,Surco,Gaming
Dell,Inspiron 15,2734,25,Miraflores,Profesional
Lenovo,IdeaPad Slim 3,2679,55,San Isidro,Profesional
HP,Pavilion 15,3090,19,San Isidro,Profesional
Lenovo,ThinkPad E14,3164,19,San Isidro,Profesional
Lenovo,ThinkPad E14,3160,29,Arequipa,Profesional
Acer,Nitro V 15,4248,8,San Isidro,Gaming
HP,Pavilion 15,3380,50,Chiclayo,Profesional
ASUS,Zenbook 14,4643,4,Los Olivos,Gaming
Lenovo,ThinkPad E14,3489,48,Miraflores,Profesional
HP,15-fd,2468,40,Trujillo,Oficina
Acer,Nitro V 15,4134,20,Piura,Gaming
MSI,Modern 15,3641,31,Los Olivos,Profesional
MSI,Katana 15,5771,18,Arequipa,Premium
Acer,Nitro V 15,3622,56,Centro de Lima,Profesional
Dell,Inspiron 15,2896,51,Los Olivos,Profesional
Apple,MacBook Air M3,5879,50,Centro de Lima,Premium
Acer,Nitro V 15,4090,39,Piura,Gaming
Apple,MacBook Air M3,6043,55,Miraflores,Premium
Acer,Aspire 5,2175,16,Centro de Lima,Oficina
Apple,MacBook Air M2,5185,52,San Isidro,Gaming
Dell,Vostro 3520,2965,15,Centro de Lima,Profesional
Acer,Nitro V 15,4149,4,Chiclayo,Gaming
MSI,Modern 15,3178,49,Surco,Profesional
Acer,Nitro V 15,3861,25,Piura,Profesional
Dell,Vostro 3520,2560,44,Surco,Profesional
HP,Pavilion 15,3226,46,San Isidro,Profesional
Dell,Inspiron 15,3465,52,Trujillo,Profesional
ASUS,Vivobook 15,2816,15,Surco,Profesional
Acer,Aspire 5,2921,45,San Miguel,Profesional
Lenovo,ThinkPad E14,3521,10,Miraflores,Profesional
HP,Pavilion 15,3639,48,San Isidro,Profesional
MSI,Modern 15,2960,9,Piura,Profesional
Lenovo,ThinkPad E14,3180,36,Centro de Lima,Profesional
Dell,Inspiron 15,3153,38,San Isidro,Profesional
Apple,MacBook Air M3,6157,8,Arequipa,Premium
HP,15-fd,2058,26,San Miguel,Oficina
Dell,Vostro 3520,2902,55,Chiclayo,Profesional
ASUS,Vivobook 15,2808,52,Chiclayo,Profesional
ASUS,Zenbook 14,5049,20,San Miguel,Gaming
Apple,MacBook Air M2,5066,19,Los Olivos,Gaming
MSI,Katana 15,5327,18,San Miguel,Gaming
Dell,Inspiron 15,3380,48,Chiclayo,Profesional
MSI,Modern 15,3573,42,San Isidro,Profesional
Acer,Nitro V 15,4067,21,Chiclayo,Gaming
HP,15-fd,1960,31,San Isidro,Oficina
Apple,MacBook Air M2,4915,12,San Isidro,Gaming
Apple,MacBook Air M3,6342,27,San Isidro,Premium
Lenovo,ThinkPad E14,3941,11,Los Olivos,Profesional
Apple,MacBook Air M2,5125,13,Chiclayo,Gaming
Lenovo,IdeaPad Slim 3,2413,17,San Isidro,Oficina
HP,Pavilion 15,3739,42,Chiclayo,Profesional
HP,Pavilion 15,3059,10,Chiclayo,Profesional
Acer,Nitro V 15,3647,6,Surco,Profesional
Apple,MacBook Air M3,5833,7,Chiclayo,Premium
ASUS,Vivobook 15,2316,17,Miraflores,Oficina
ASUS,Zenbook 14,4746,53,Centro de Lima,Gaming
Dell,Inspiron 15,3468,5,Miraflores,Profesional
Dell,Vostro 3520,3041,53,Los Olivos,Profesional
Dell,Vostro 3520,3122,3,Los Olivos,Profesional
Apple,MacBook Air M2,4707,15,Miraflores,Gaming
Acer,Aspire 5,2185,35,San Isidro,Oficina
MSI,Katana 15,5694,4,Surco,Premium
HP,Pavilion 15,3641,54,Los Olivos,Profesional
HP,15-fd,2309,30,Piura,Oficina
HP,Pavilion 15,3248,30,San Isidro,Profesional
HP,15-fd,2156,54,Arequipa,Oficina
Acer,Aspire 5,2973,5,San Miguel,Profesional
Acer,Nitro V 15,4368,25,Surco,Gaming
HP,15-fd,2465,5,Trujillo,Oficina
Acer,Nitro V 15,3658,55,Piura,Profesional
Apple,MacBook Air M2,5233,43,Surco,Gaming
MSI,Katana 15,5015,32,Piura,Gaming
MSI,Modern 15,3350,3,Centro de Lima,Profesional
Acer,Aspire 5,2896,56,Arequipa,Profesional
Lenovo,IdeaPad Slim 3,2654,41,Centro de Lima,Profesional
Apple,MacBook Air M3,6427,54,San Miguel,Premium
HP,15-fd,2102,19,Miraflores,Oficina
MSI,Katana 15,5680,54,Miraflores,Premium
Apple,MacBook Air M3,5694,38,Trujillo,Premium
ASUS,Zenbook 14,4827,54,Los Olivos,Gaming
HP,15-fd,1816,48,San Miguel,Oficina
ASUS,Vivobook 15,2368,19,Miraflores,Oficina
MSI,Modern 15,3337,7,Surco,Profesional
Apple,MacBook Air M3,5675,52,Piura,Premium
ASUS,Vivobook 15,2658,3,Arequipa,Profesional
Dell,Inspiron 15,3022,38,Miraflores,Profesional
Acer,Nitro V 15,3604,16,San Miguel,Profesional
Lenovo,ThinkPad E14,3804,4,Chiclayo,Profesional
Apple,MacBook Air M2,5218,18,Piura,Gaming
Acer,Aspire 5,2792,19,San Miguel,Profesional
Apple,MacBook Air M3,6118,31,San Miguel,Premium
HP,15-fd,2697,60,Miraflores,Profesional
HP,15-fd,2378,40,Los Olivos,Oficina
ASUS,Vivobook 15,2308,13,Los Olivos,Oficina
Acer,Aspire 5,2115,44,San Isidro,Oficina
Lenovo,ThinkPad E14,3622,35,Miraflores,Profesional
ASUS,Zenbook 14,4486,16,Surco,Gaming
MSI,Katana 15,5393,57,Piura,Gaming
HP,15-fd,1864,60,Surco,Oficina
HP,15-fd,1894,57,San Isidro,Oficina
HP,Pavilion 15,3482,34,Chiclayo,Profesional
Dell,Vostro 3520,2517,35,Los Olivos,Profesional
ASUS,Vivobook 15,2951,20,Miraflores,Profesional
HP,15-fd,2361,58,Trujillo,Oficina
HP,Pavilion 15,3618,18,Miraflores,Profesional
Apple,MacBook Air M2,4823,13,San Miguel,Gaming
HP,Pavilion 15,3227,23,Centro de Lima,Profesional
Apple,MacBook Air M2,4733,46,San Isidro,Gaming
Apple,MacBook Air M3,6126,42,San Miguel,Premium
MSI,Modern 15,3277,30,Piura,Profesional
Dell,Vostro 3520,3136,47,Surco,Profesional
Dell,Inspiron 15,3138,43,Miraflores,Profesional
Apple,MacBook Air M3,6046,51,Surco,Premium
MSI,Modern 15,3329,5,Piura,Profesional
Dell,Vostro 3520,3030,23,San Isidro,Profesional
Acer,Nitro V 15,4253,2,Los Olivos,Gaming
Lenovo,IdeaPad Slim 3,2634,11,Centro de Lima,Profesional
Lenovo,ThinkPad E14,3534,57,Arequipa,Profesional
Acer,Aspire 5,2233,44,Arequipa,Oficina
Lenovo,IdeaPad Slim 3,2938,30,Trujillo,Profesional
Acer,Nitro V 15,3683,57,Surco,Profesional
ASUS,Vivobook 15,3020,11,Piura,Profesional
Dell,Inspiron 15,2707,38,Trujillo,Profesional
Lenovo,ThinkPad E14,3921,28,Centro de Lima,Profesional
MSI,Katana 15,4917,32,Piura,Gaming
Lenovo,IdeaPad Slim 3,2437,27,Arequipa,Oficina
Apple,MacBook Air M2,5299,23,Surco,Gaming
Dell,Vostro 3520,3292,3,San Miguel,Profesional
Apple,MacBook Air M3,6041,16,Los Olivos,Premium
HP,Pavilion 15,3538,25,Piura,Profesional
Lenovo,IdeaPad Slim 3,3097,3,San Miguel,Profesional
MSI,Katana 15,5579,28,Surco,Premium
Dell,Vostro 3520,2563,14,Chiclayo,Profesional
Dell,Inspiron 15,2717,23,Trujillo,Profesional
ASUS,Vivobook 15,2404,49,Piura,Oficina
Lenovo,IdeaPad Slim 3,3195,42,Chiclayo,Profesional
MSI,Modern 15,3369,29,Piura,Profesional
MSI,Katana 15,5481,28,Miraflores,Gaming
Dell,Vostro 3520,2941,30,San Miguel,Profesional
Apple,MacBook Air M2,4664,54,Trujillo,Gaming
ASUS,Vivobook 15,2864,45,San Miguel,Profesional
Acer,Aspire 5,2419,48,Surco,Oficina
MSI,Modern 15,3072,49,Miraflores,Profesional
HP,Pavilion 15,3389,39,Los Olivos,Profesional
ASUS,Zenbook 14,4930,41,San Isidro,Gaming
Dell,Vostro 3520,2669,51,San Miguel,Profesional
Dell,Inspiron 15,2874,11,San Isidro,Profesional
HP,15-fd,1825,8,Los Olivos,Oficina
HP,Pavilion 15,3368,26,Surco,Profesional
Apple,MacBook Air M3,6188,42,Miraflores,Premium
ASUS,Zenbook 14,4892,33,Piura,Gaming
ASUS,Zenbook 14,4643,50,San Isidro,Gaming
Acer,Nitro V 15,4421,56,Piura,Gaming
Lenovo,IdeaPad Slim 3,2326,6,Los Olivos,Oficina
Acer,Aspire 5,2104,2,Miraflores,Oficina
HP,15-fd,2206,28,Chiclayo,Oficina
Acer,Nitro V 15,4229,17,Surco,Gaming
Dell,Vostro 3520,2548,23,Trujillo,Profesional
ASUS,Zenbook 14,4712,59,San Isidro,Gaming
Apple,MacBook Air M2,5255,27,Chiclayo,Gaming
Lenovo,IdeaPad Slim 3,3116,18,Trujillo,Profesional
Apple,MacBook Air M2,5111,48,Surco,Gaming
Lenovo,ThinkPad E14,3580,8,San Isidro,Profesional
Acer,Nitro V 15,4035,57,San Isidro,Gaming
Dell,Vostro 3520,2921,56,Piura,Profesional
Dell,Inspiron 15,3282,50,Trujillo,Profesional
Apple,MacBook Air M3,6014,19,San Isidro,Premium
MSI,Katana 15,5712,35,Surco,Premium
Dell,Vostro 3520,2673,51,San Isidro,Profesional
ASUS,Vivobook 15,2847,50,Arequipa,Profesional
Acer,Nitro V 15,4207,22,Chiclayo,Gaming
Dell,Inspiron 15,2923,23,Chiclayo,Profesional
Acer,Aspire 5,2873,56,Arequipa,Profesional
Apple,MacBook Air M3,6427,56,Surco,Premium
Acer,Nitro V 15,4123,10,San Isidro,Gaming
Lenovo,IdeaPad Slim 3,2802,34,Trujillo,Profesional
Lenovo,ThinkPad E14,3653,57,Piura,Profesional
MSI,Modern 15,3283,38,Chiclayo,Profesional
Apple,MacBook Air M2,4720,17,Chiclayo,Gaming
Lenovo,ThinkPad E14,3509,13,Arequipa,Profesional
Dell,Inspiron 15,3458,20,Miraflores,Profesional
ASUS,Zenbook 14,4725,17,Miraflores,Gaming
Lenovo,ThinkPad E14,3341,38,San Miguel,Profesional
Apple,MacBook Air M2,5379,5,San Miguel,Gaming
Dell,Inspiron 15,3186,30,Centro de Lima,Profesional
ASUS,Zenbook 14,4763,19,Chiclayo,Gaming
HP,Pavilion 15,3596,16,Trujillo,Profesional
Acer,Nitro V 15,4484,29,Chiclayo,Gaming
Dell,Vostro 3520,2631,52,San Miguel,Profesional
Acer,Aspire 5,2597,21,San Isidro,Profesional
ASUS,Zenbook 14,4460,37,Miraflores,Gaming
MSI,Modern 15,3231,43,Los Olivos,Profesional
Apple,MacBook Air M2,5153,38,San Miguel,Gaming
Acer,Aspire 5,2616,8,Surco,Profesional
Lenovo,ThinkPad E14,3968,51,Miraflores,Profesional
ASUS,Vivobook 15,2618,42,Los Olivos,Profesional
Apple,MacBook Air M3,5993,13,Trujillo,Premium
Apple,MacBook Air M3,6055,50,Arequipa,Premium
ASUS,Zenbook 14,4342,19,Chiclayo,Gaming
Lenovo,IdeaPad Slim 3,2549,32,Trujillo,Profesional
Acer,Nitro V 15,3881,11,Piura,Profesional
HP,Pavilion 15,3297,37,San Isidro,Profesional
HP,Pavilion 15,3357,6,San Miguel,Profesional
Dell,Inspiron 15,3339,25,Surco,Profesional
Dell,Inspiron 15,2904,9,Trujillo,Profesional
ASUS,Vivobook 15,2598,27,San Isidro,Profesional
MSI,Modern 15,3454,35,Piura,Profesional
HP,Pavilion 15,3523,55,Chiclayo,Profesional
ASUS,Vivobook 15,3074,48,Chiclayo,Profesional
ASUS,Zenbook 14,4896,34,Trujillo,Gaming
MSI,Katana 15,5164,36,Trujillo,Gaming
Acer,Nitro V 15,3953,2,Trujillo,Profesional
HP,15-fd,2023,14,Arequipa,Oficina
ASUS,Vivobook 15,3036,10,Arequipa,Profesional
MSI,Modern 15,3484,42,Centro de Lima,Profesional
Acer,Nitro V 15,3818,14,Centro de Lima,Profesional
Lenovo,IdeaPad Slim 3,3037,50,San Miguel,Profesional
ASUS,Zenbook 14,4540,35,San Miguel,Gaming
Acer,Aspire 5,2131,42,Chiclayo,Oficina
Lenovo,ThinkPad E14,3307,1,San Isidro,Profesional
HP,Pavilion 15,3239,25,San Isidro,Profesional
Acer,Aspire 5,2868,31,Arequipa,Profesional
ASUS,Zenbook 14,4910,3,Chiclayo,Gaming
Lenovo,IdeaPad Slim 3,3184,9,Miraflores,Profesional
Lenovo,ThinkPad E14,3512,13,Surco,Profesional
MSI,Katana 15,5531,39,Surco,Premium
HP,Pavilion 15,3285,26,Arequipa,Profesional
MSI,Modern 15,3403,4,Piura,Profesional
MSI,Katana 15,5507,50,San Miguel,Premium
HP,15-fd,2060,13,San Isidro,Oficina
Acer,Nitro V 15,3935,55,Chiclayo,Profesional
Apple,MacBook Air M3,6227,34,Chiclayo,Premium
Dell,Inspiron 15,3190,34,Surco,Profesional
ASUS,Zenbook 14,4741,15,Piura,Gaming
Dell,Vostro 3520,2665,4,Piura,Profesional
Lenovo,IdeaPad Slim 3,2443,16,Arequipa,Oficina
Lenovo,ThinkPad E14,3925,49,Chiclayo,Profesional
HP,Pavilion 15,3554,23,Piura,Profesional
HP,15-fd,2682,26,Miraflores,Profesional
Apple,MacBook Air M3,6439,49,Piura,Premium
Lenovo,ThinkPad E14,3582,50,Piura,Profesional
MSI,Katana 15,5033,8,Surco,Gaming
Apple,MacBook Air M2,5328,2,Centro de Lima,Gaming
Dell,Vostro 3520,2791,29,Arequipa,Profesional
Acer,Nitro V 15,4121,22,Centro de Lima,Gaming
Lenovo,ThinkPad E14,3197,43,Miraflores,Profesional
Apple,MacBook Air M3,6023,60,Piura,Premium
Dell,Inspiron 15,2631,23,Surco,Profesional
Dell,Inspiron 15,3096,21,Centro de Lima,Profesional
MSI,Katana 15,4910,14,Miraflores,Gaming
ASUS,Zenbook 14,4861,49,San Miguel,Gaming
ASUS,Zenbook 14,5005,57,San Miguel,Gaming
ASUS,Zenbook 14,4387,50,San Isidro,Gaming
Dell,Inspiron 15,3028,49,Trujillo,Profesional
Acer,Aspire 5,2619,2,Centro de Lima,Profesional
MSI,Katana 15,5658,13,Chiclayo,Premium
MSI,Katana 15,5570,22,Chiclayo,Premium
HP,15-fd,2506,15,Trujillo,Profesional
Acer,Aspire 5,2643,17,San Isidro,Profesional
MSI,Modern 15,3504,29,Arequipa,Profesional
HP,15-fd,2407,45,Trujillo,Oficina
Lenovo,ThinkPad E14,3721,22,Piura,Profesional
Lenovo,ThinkPad E14,3233,30,Los Olivos,Profesional
Acer,Nitro V 15,4481,33,Piura,Gaming
MSI,Katana 15,5000,26,Centro de Lima,Gaming
Acer,Aspire 5,2408,20,Arequipa,Oficina
Lenovo,ThinkPad E14,3999,58,Miraflores,Profesional
Apple,MacBook Air M2,4785,60,Chiclayo,Gaming
Apple,MacBook Air M3,6078,13,Arequipa,Premium
Acer,Nitro V 15,3690,40,Los Olivos,Profesional
Apple,MacBook Air M3,6350,60,Arequipa,Premium
HP,Pavilion 15,3640,4,Los Olivos,Profesional
Acer,Nitro V 15,4193,33,Chiclayo,Gaming
Apple,MacBook Air M3,6193,42,Trujillo,Premium
Lenovo,ThinkPad E14,3874,19,Chiclayo,Profesional
Acer,Nitro V 15,4244,1,Chiclayo,Gaming
Acer,Aspire 5,2453,38,Los Olivos,Oficina
Apple,MacBook Air M3,6425,54,Piura,Premium
Lenovo,ThinkPad E14,3953,52,Chiclayo,Profesional
Acer,Aspire 5,2383,8,Chiclayo,Oficina
Apple,MacBook Air M3,5727,37,San Isidro,Premium
HP,Pavilion 15,3332,33,San Isidro,Profesional
Dell,Inspiron 15,3117,34,Centro de Lima,Profesional
Dell,Vostro 3520,2509,39,Chiclayo,Profesional
HP,Pavilion 15,2903,52,Piura,Profesional
Lenovo,IdeaPad Slim 3,2801,40,Surco,Profesional
Lenovo,IdeaPad Slim 3,2673,2,Chiclayo,Profesional
Apple,MacBook Air M3,5967,3,Los Olivos,Premium
HP,15-fd,2633,16,San Miguel,Profesional
MSI,Katana 15,4914,19,Arequipa,Gaming
Lenovo,IdeaPad Slim 3,2694,57,San Miguel,Profesional
MSI,Katana 15,5142,30,Piura,Gaming
Dell,Vostro 3520,3178,40,San Miguel,Profesional
MSI,Modern 15,2954,4,San Isidro,Profesional
HP,Pavilion 15,3454,1,Chiclayo,Profesional
MSI,Modern 15,2809,43,Chiclayo,Profesional
Dell,Vostro 3520,2407,5,Miraflores,Oficina
Lenovo,ThinkPad E14,3880,40,Arequipa,Profesional
HP,Pavilion 15,3720,40,San Miguel,Profesional
HP,Pavilion 15,3648,24,San Isidro,Profesional
Acer,Aspire 5,2235,23,Los Olivos,Oficina
Apple,MacBook Air M2,5220,2,Piura,Gaming
ASUS,Zenbook 14,4504,13,Piura,Gaming
Lenovo,IdeaPad Slim 3,2901,57,San Isidro,Profesional
HP,Pavilion 15,3448,10,Surco,Profesional
HP,Pavilion 15,3447,11,Chiclayo,Profesional
Lenovo,ThinkPad E14,3733,47,Arequipa,Profesional
Dell,Vostro 3520,3225,39,Miraflores,Profesional
Dell,Inspiron 15,3301,30,Piura,Profesional
Apple,MacBook Air M2,4661,26,San Miguel,Gaming
ASUS,Vivobook 15,2583,53,San Miguel,Profesional
Lenovo,ThinkPad E14,3899,58,Surco,Profesional
Lenovo,ThinkPad E14,3749,34,Chiclayo,Profesional
Lenovo,ThinkPad E14,3502,30,Los Olivos,Profesional
HP,15-fd,2589,20,Los Olivos,Profesional
Dell,Vostro 3520,2562,22,Piura,Profesional
Dell,Inspiron 15,3314,20,Miraflores,Profesional
Lenovo,IdeaPad Slim 3,2588,24,San Miguel,Profesional
Acer,Aspire 5,2186,25,Miraflores,Oficina
HP,15-fd,2451,39,Arequipa,Oficina
HP,Pavilion 15,3170,1,San Miguel,Profesional
MSI,Katana 15,5386,9,Miraflores,Gaming
Acer,Nitro V 15,3852,39,Los Olivos,Profesional
MSI,Katana 15,5667,12,Centro de Lima,Premium
Apple,MacBook Air M2,5495,54,Chiclayo,Gaming
Acer,Aspire 5,2496,31,Surco,Oficina
MSI,Katana 15,5502,13,San Miguel,Premium
ASUS,Vivobook 15,2889,38,Piura,Profesional
HP,15-fd,2637,60,San Isidro,Profesional
MSI,Modern 15,3398,25,San Miguel,Profesional
Lenovo,ThinkPad E14,3460,3,San Isidro,Profesional
Dell,Vostro 3520,2479,58,Arequipa,Oficina
Apple,MacBook Air M2,4994,51,Piura,Gaming
Dell,Vostro 3520,2662,60,Arequipa,Profesional
Dell,Vostro 3520,3202,22,Los Olivos,Profesional
Dell,Vostro 3520,2702,44,Los Olivos,Profesional
ASUS,Vivobook 15,2570,19,Piura,Profesional
Lenovo,ThinkPad E14,3380,57,Chiclayo,Profesional
Dell,Vostro 3520,2454,46,Miraflores,Oficina
Apple,MacBook Air M3,5943,30,Piura,Premium
Apple,MacBook Air M3,5849,55,Arequipa,Premium
Dell,Inspiron 15,2642,49,Centro de Lima,Profesional
Acer,Nitro V 15,4180,19,Trujillo,Gaming
ASUS,Vivobook 15,3017,26,Surco,Profesional
ASUS,Zenbook 14,5045,2,Los Olivos,Gaming
ASUS,Vivobook 15,2337,2,Chiclayo,Oficina
Lenovo,IdeaPad Slim 3,3018,11,San Miguel,Profesional
Acer,Aspire 5,2243,4,Los Olivos,Oficina
ASUS,Vivobook 15,2507,21,San Miguel,Profesional
ASUS,Zenbook 14,5010,36,Chiclayo,Gaming
Acer,Aspire 5,2843,28,San Isidro,Profesional
ASUS,Zenbook 14,4935,25,Arequipa,Gaming
Apple,MacBook Air M3,5930,22,Piura,Premium
HP,15-fd,2021,44,Los Olivos,Oficina
ASUS,Vivobook 15,2939,39,San Miguel,Profesional
Lenovo,IdeaPad Slim 3,2746,57,Trujillo,Profesional
ASUS,Zenbook 14,4769,8,Chiclayo,Gaming
Acer,Aspire 5,2117,48,San Isidro,Oficina
Dell,Inspiron 15,2877,15,Arequipa,Profesional
MSI,Katana 15,4941,29,Piura,Gaming
Acer,Aspire 5,2759,35,Miraflores,Profesional
ASUS,Zenbook 14,4453,41,Los Olivos,Gaming
ASUS,Zenbook 14,4567,40,Trujillo,Gaming
Dell,Vostro 3520,3126,60,Trujillo,Profesional
Lenovo,ThinkPad E14,3852,50,Trujillo,Profesional
Dell,Inspiron 15,2639,14,Surco,Profesional
HP,15-fd,2139,59,Trujillo,Oficina
MSI,Katana 15,5020,52,Los Olivos,Gaming
Dell,Vostro 3520,2569,5,Arequipa,Profesional
Lenovo,ThinkPad E14,3925,51,Piura,Profesional
MSI,Modern 15,3686,34,San Isidro,Profesional
Dell,Vostro 3520,2605,37,San Miguel,Profesional
HP,15-fd,2027,30,Chiclayo,Oficina
Lenovo,IdeaPad Slim 3,2823,7,Surco,Profesional
Acer,Nitro V 15,3646,33,Centro de Lima,Profesional
ASUS,Zenbook 14,4771,24,San Isidro,Gaming
Lenovo,IdeaPad Slim 3,2383,49,Surco,Oficina
ASUS,Vivobook 15,2843,46,Arequipa,Profesional
Apple,MacBook Air M3,5968,2,Surco,Premium
MSI,Katana 15,5579,56,Trujillo,Premium
HP,15-fd,1813,31,Surco,Oficina
MSI,Katana 15,5713,15,Piura,Premium
MSI,Katana 15,5479,50,San Isidro,Gaming
Dell,Vostro 3520,3023,8,San Miguel,Profesional
Lenovo,IdeaPad Slim 3,2772,49,Miraflores,Profesional
ASUS,Vivobook 15,2805,11,Miraflores,Profesional
HP,15-fd,2147,41,Chiclayo,Oficina
ASUS,Vivobook 15,2414,27,Arequipa,Oficina
Dell,Inspiron 15,3356,17,Centro de Lima,Profesional
Acer,Aspire 5,2683,36,Arequipa,Profesional
Lenovo,IdeaPad Slim 3,2556,36,Los Olivos,Profesional
MSI,Modern 15,3430,56,Piura,Profesional
MSI,Modern 15,2861,23,Centro de Lima,Profesional
Dell,Inspiron 15,2644,24,Los Olivos,Profesional
Dell,Inspiron 15,3160,5,San Miguel,Profesional
Lenovo,IdeaPad Slim 3,2479,28,Los Olivos,Oficina
Dell,Inspiron 15,2717,47,Centro de Lima,Profesional
Dell,Vostro 3520,3145,24,Trujillo,Profesional
ASUS,Zenbook 14,4537,8,Centro de Lima,Gaming
MSI,Katana 15,5386,48,San Miguel,Gaming
Acer,Aspire 5,2549,4,Chiclayo,Profesional
Lenovo,IdeaPad Slim 3,2393,23,Trujillo,Oficina
MSI,Katana 15,5042,34,Centro de Lima,Gaming
Acer,Aspire 5,2552,8,San Isidro,Profesional
Apple,MacBook Air M2,5044,12,Los Olivos,Gaming
Dell,Vostro 3520,2435,58,Miraflores,Oficina
Dell,Inspiron 15,3469,60,Trujillo,Profesional
ASUS,Zenbook 14,4681,45,Chiclayo,Gaming
ASUS,Vivobook 15,3006,10,Arequipa,Profesional
ASUS,Zenbook 14,4238,22,Surco,Gaming
MSI,Modern 15,3309,2,San Isidro,Profesional
MSI,Modern 15,3176,3,Trujillo,Profesional
MSI,Katana 15,5731,33,San Isidro,Premium
Lenovo,IdeaPad Slim 3,2805,47,Surco,Profesional
Acer,Aspire 5,2720,39,Trujillo,Profesional
Acer,Nitro V 15,3650,3,Chiclayo,Profesional
Apple,MacBook Air M3,6012,49,Chiclayo,Premium
Dell,Vostro 3520,2527,59,Los Olivos,Profesional
Apple,MacBook Air M3,6073,22,Arequipa,Premium
Apple,MacBook Air M3,6269,41,Los Olivos,Premium
Dell,Inspiron 15,2804,32,Piura,Profesional
Lenovo,ThinkPad E14,3826,60,Trujillo,Profesional
Lenovo,ThinkPad E14,3160,28,Chiclayo,Profesional
Dell,Inspiron 15,3177,9,Chiclayo,Profesional
Lenovo,IdeaPad Slim 3,2844,28,Arequipa,Profesional
Apple,MacBook Air M2,4920,26,San Miguel,Gaming
ASUS,Vivobook 15,2768,19,Arequipa,Profesional
Acer,Aspire 5,2493,4,Arequipa,Oficina
Acer,Nitro V 15,3973,13,San Miguel,Profesional
Acer,Nitro V 15,4109,12,Chiclayo,Gaming
HP,15-fd,1956,46,Los Olivos,Oficina
Acer,Aspire 5,2900,5,Piura,Profesional
Apple,MacBook Air M2,4966,55,Surco,Gaming
ASUS,Zenbook 14,5039,41,Miraflores,Gaming
Lenovo,IdeaPad Slim 3,2316,57,San Miguel,Oficina
HP,Pavilion 15,3216,23,San Isidro,Profesional
Dell,Inspiron 15,3414,57,Piura,Profesional
Apple,MacBook Air M2,5096,59,Miraflores,Gaming
HP,Pavilion 15,3221,31,Miraflores,Profesional
Dell,Vostro 3520,2437,25,San Miguel,Oficina
HP,15-fd,1886,35,Piura,Oficina
Apple,MacBook Air M3,6217,57,Chiclayo,Premium
Lenovo,ThinkPad E14,3461,40,Los Olivos,Profesional
Acer,Nitro V 15,3761,24,Arequipa,Profesional
Lenovo,IdeaPad Slim 3,2313,7,Los Olivos,Oficina
Lenovo,IdeaPad Slim 3,2751,19,San Isidro,Profesional
Dell,Vostro 3520,3002,48,Miraflores,Profesional
Acer,Nitro V 15,3790,1,Miraflores,Profesional
MSI,Modern 15,3024,50,Piura,Profesional
ASUS,Vivobook 15,2455,28,Chiclayo,Oficina
HP,Pavilion 15,3236,37,Los Olivos,Profesional
Apple,MacBook Air M3,5749,16,Centro de Lima,Premium
Acer,Aspire 5,2247,6,Arequipa,Oficina
ASUS,Zenbook 14,4832,44,Surco,Gaming
Acer,Nitro V 15,3657,47,Surco,Profesional
ASUS,Vivobook 15,2519,28,Miraflores,Profesional
Apple,MacBook Air M2,5093,4,Los Olivos,Gaming
HP,15-fd,2256,29,Piura,Oficina
Apple,MacBook Air M2,5323,43,Centro de Lima,Gaming
MSI,Katana 15,5204,22,Arequipa,Gaming
Acer,Nitro V 15,3744,39,San Miguel,Profesional
Acer,Nitro V 15,4469,46,Trujillo,Gaming
Acer,Nitro V 15,3721,31,Trujillo,Profesional
ASUS,Zenbook 14,4611,53,Trujillo,Gaming
HP,Pavilion 15,3698,33,Surco,Profesional
Lenovo,IdeaPad Slim 3,3168,35,Piura,Profesional
MSI,Katana 15,5612,31,Los Olivos,Premium
Dell,Vostro 3520,3044,8,San Isidro,Profesional
Dell,Vostro 3520,3172,35,Trujillo,Profesional
HP,15-fd,1853,34,Los Olivos,Oficina
Apple,MacBook Air M3,5674,27,Arequipa,Premium
MSI,Modern 15,2853,52,Miraflores,Profesional
HP,15-fd,2287,24,Chiclayo,Oficina
Acer,Aspire 5,2969,24,Miraflores,Profesional
HP,Pavilion 15,3198,3,San Isidro,Profesional
Apple,MacBook Air M3,6211,1,Miraflores,Premium
HP,Pavilion 15,3199,60,San Isidro,Profesional
Dell,Inspiron 15,3136,48,Los Olivos,Profesional
Dell,Inspiron 15,3392,21,San Isidro,Profesional
Acer,Nitro V 15,4492,48,Los Olivos,Gaming
MSI,Katana 15,5326,60,Arequipa,Gaming
HP,Pavilion 15,3098,1,Centro de Lima,Profesional
Lenovo,IdeaPad Slim 3,3197,46,Centro de Lima,Profesional
ASUS,Vivobook 15,3033,33,Centro de Lima,Profesional
